"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: size"
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,011984",NaN,"s/op",NON_BLOCKING_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"872,000000",NaN,"#",NON_BLOCKING_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"0,985166",NaN,"s/op",NON_BLOCKING_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"20792,000000",NaN,"#",NON_BLOCKING_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,066400",NaN,"s/op",NON_BLOCKING_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"2373368,000000",NaN,"#",NON_BLOCKING_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"3,216377",NaN,"s/op",NON_BLOCKING_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"281327096,000000",NaN,"#",NON_BLOCKING_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,013880",NaN,"s/op",SHARDED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"2872,000000",NaN,"#",SHARDED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,019360",NaN,"s/op",SHARDED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"10072,000000",NaN,"#",SHARDED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,298136",NaN,"s/op",SHARDED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"722872,000000",NaN,"#",SHARDED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"14,482706",NaN,"s/op",SHARDED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"72002872,000000",NaN,"#",SHARDED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"0,982842",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"1368,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,011546",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"13176,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,089274",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"1174616,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"7,011136",NaN,"s/op",LOCK_FREE_CHROMATIC_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"117334584,000000",NaN,"#",LOCK_FREE_CHROMATIC_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,002911",NaN,"s/op",SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"80,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,024099",NaN,"s/op",SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"8544,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,172376",NaN,"s/op",SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"771168,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"8,338396",NaN,"s/op",SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"80777312,000000",NaN,"#",SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,013917",NaN,"s/op",SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"80,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,008165",NaN,"s/op",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"7280,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,315592",NaN,"s/op",SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"720080,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"13,874151",NaN,"s/op",SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"72000080,000000",NaN,"#",SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,008866",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"192,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"0,986174",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"8656,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,169137",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"771280,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"8,933842",NaN,"s/op",RW_SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"80777424,000000",NaN,"#",RW_SYNCHRONIZED_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,004682",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,016143",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"7392,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"1,286405",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"720192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts","ss",1,1,"13,843549",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemovesThenPuts:totalSize","ss",1,1,"72000192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,1000000
