"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: keyDistribution","Param: keyRange","Param: mapType","Param: prefillFactor","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"8459,917877","1425,926470","ops/ms",ZIPF,1000000,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"210013,384050","50428,585528","ops/ms",ZIPF,1000000,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"176972,740125","44059,177186","ops/ms",ZIPF,1000000,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"25051,780243","5415,674567","ops/ms",ZIPF,1000000,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"7988,863682","1708,553097","ops/ms",ZIPF,1000000,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"16314,656339","1271,767079","ops/ms",ZIPF,1000000,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"15063,620577","1265,019003","ops/ms",ZIPF,1000000,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"947,302965","35,327600","ops/ms",ZIPF,1000000,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"303,732797","12,497470","ops/ms",ZIPF,1000000,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"34700,843162","1772,733557","ops/ms",ZIPF,1000000,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"29219,778703","1508,517920","ops/ms",ZIPF,1000000,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"4365,071597","252,660856","ops/ms",ZIPF,1000000,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"1115,992862","113,004929","ops/ms",ZIPF,1000000,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"17666,154773","1262,869929","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"1874,420553","320,019836","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"8570,129361","1129,243667","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"7221,604860","1205,863270","ops/ms",ZIPF,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"12968,829833","811,276022","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"1020,815099","201,789615","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"6810,344232","1111,858244","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"5137,670502","523,501393","ops/ms",ZIPF,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"39766,345539","1466,100687","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"2316,239703","122,825566","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"16854,031748","673,707731","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"20596,074088","1100,654472","ops/ms",ZIPF,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"20341,596705","600,876516","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"1504,952885","246,789220","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"6855,995872","150,477499","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"11980,647948","518,782870","ops/ms",ZIPF,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"117630,411296","13378,720656","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"79538,526574","11118,596647","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"11499,379114","250,763647","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"26592,505608","2885,754232","ops/ms",ZIPF,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"108980,642944","9617,188064","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"41880,385714","8825,648917","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"31741,752089","2487,902400","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"35358,505141","6517,291442","ops/ms",ZIPF,100,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"25841,287895","877,576599","ops/ms",ZIPF,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"1380,657764","361,901716","ops/ms",ZIPF,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"10480,049614","657,893084","ops/ms",ZIPF,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"13980,580517","473,763087","ops/ms",ZIPF,100,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"25394,400087","1160,416488","ops/ms",ZIPF,100,LOCK_FREE_CHROMATIC_MAP,0.5,42
