"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: keyDistribution","Param: keyRange","Param: mapType","Param: prefillFactor","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"4180,048105","387,693454","ops/ms",SEQUENTIAL,1000000,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"1678,212684","178,081993","ops/ms",SEQUENTIAL,1000000,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"6259,367699","218,436757","ops/ms",SEQUENTIAL,1000000,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"4151,935259","240,490251","ops/ms",SEQUENTIAL,1000000,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"1486,669733","168,464780","ops/ms",SEQUENTIAL,1000000,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"620,762706","66,801006","ops/ms",SEQUENTIAL,1000000,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"565784,402035","125652,083537","ops/ms",SEQUENTIAL,1000000,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"514539,679066","124398,646573","ops/ms",SEQUENTIAL,1000000,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"40584,478788","8552,417299","ops/ms",SEQUENTIAL,1000000,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"10660,244182","4954,367278","ops/ms",SEQUENTIAL,1000000,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"160323,521812","35922,864760","ops/ms",SEQUENTIAL,1000000,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"138911,444257","33629,451248","ops/ms",SEQUENTIAL,1000000,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"15834,298469","2242,075651","ops/ms",SEQUENTIAL,1000000,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"5577,779086","1307,396530","ops/ms",SEQUENTIAL,1000000,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"25529,130648","3338,608055","ops/ms",SEQUENTIAL,1000000,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"23277,161233","3157,097793","ops/ms",SEQUENTIAL,1000000,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"1638,850332","135,994133","ops/ms",SEQUENTIAL,1000000,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"613,119083","113,278692","ops/ms",SEQUENTIAL,1000000,SHARDED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1","thrpt",16,15,"77857,346428","9511,246404","ops/ms",SEQUENTIAL,1000000,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:get12","thrpt",16,15,"74211,658861","9285,570735","ops/ms",SEQUENTIAL,1000000,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:put3","thrpt",16,15,"2464,371852","499,770133","ops/ms",SEQUENTIAL,1000000,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g12_3_1:remove1","thrpt",16,15,"1181,315715","300,804341","ops/ms",SEQUENTIAL,1000000,LOCK_FREE_CHROMATIC_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"18942,898977","1767,318750","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"2462,258465","1168,926437","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"9898,189366","1255,667178","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"6582,451147","1180,762818","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"16039,511117","1111,566202","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"1343,964107","455,806010","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"7795,774756","990,277111","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"6899,772253","1004,513809","ops/ms",SEQUENTIAL,100,SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"44007,929354","937,062248","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"2532,020997","231,720109","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"19386,709225","729,928956","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"22089,199132","454,416515","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"31755,928137","2354,698265","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"2374,507752","201,324573","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"11822,516071","1105,704904","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"17558,904314","1315,973069","ops/ms",SEQUENTIAL,100,RW_SYNCHRONIZED_TREE_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"155963,185135","20541,052550","ops/ms",SEQUENTIAL,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"77147,821595","19149,051995","ops/ms",SEQUENTIAL,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"43215,602657","2751,701555","ops/ms",SEQUENTIAL,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"35599,760883","1760,387449","ops/ms",SEQUENTIAL,100,CONCURRENT_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7","thrpt",16,15,"257034,507074","31893,611916","ops/ms",SEQUENTIAL,100,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:get2","thrpt",16,15,"78754,687957","12949,337067","ops/ms",SEQUENTIAL,100,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:put7","thrpt",16,15,"90447,962238","10821,429476","ops/ms",SEQUENTIAL,100,NON_BLOCKING_HASH_MAP,0.5,42
"ua.edu.ukma.benchmarks.IntegerKeysGroupedOperationsBenchmark.g2_7_7:remove7","thrpt",16,15,"87831,856878","9632,636617","ops/ms",SEQUENTIAL,100,NON_BLOCKING_HASH_MAP,0.5,42
